"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2012","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","1,023","40.5","43.2"
"2012","UHF 42","204","4","East New York","539","39.7","42.0"
"2012","UHF 42","205","4","Sunset Park","210","21.5","26.4"
"2012","UHF 42","206","4","Borough Park","273","11.4","11.2"
"2012","UHF 42","207","4","East Flatbush - Flatbush","608","26.1","25.9"
"2012","UHF 42","208","4","Canarsie - Flatlands","311","19.4","18.2"
"2012","UHF 42","209","4","Bensonhurst - Bay Ridge","140","8.5","7.8"
"2012","UHF 42","210","4","Coney Island - Sheepshead Bay","472","21.1","18.1"
"2012","UHF 42","211","4","Williamsburg - Bushwick","841","51.5","61.7"
"2012","UHF 42","301","4","Washington Heights","454","20.9","21.7"
"2012","UHF 42","302","4","Central Harlem - Morningside Heights","534","37.7","41.0"
"2012","UHF 42","303","4","East Harlem","534","60.4","61.8"
"2012","UHF 42","304","4","Upper West Side","246","13.2","12.1"
"2012","UHF 42","305","4","Upper East Side","96","5.1","4.8"
"2012","UHF 42","306","4","Chelsea - Clinton","162","11.7","13.5"
"2012","UHF 42","307","4","Gramercy Park - Murray Hill","67","5.6","6.3"
"2012","UHF 42","308","4","Greenwich Village - SoHo","29","4.0","4.6"
"2012","UHF 42","309","4","Union Square - Lower East Side","369","21.4","22.2"
"2012","UHF 42","310","4","Lower Manhattan","46","9.0","12.5"
"2012","UHF 42","401","4","Long Island City - Astoria","307","17.3","19.9"
"2012","UHF 42","402","4","West Queens","466","12.6","13.6"
"2012","UHF 42","403","4","Flushing - Clearview","208","9.9","8.6"
"2012","UHF 42","404","4","Bayside - Little Neck","46","6.4","5.4"
"2012","UHF 42","405","4","Ridgewood - Forest Hills","274","13.5","12.6"
"2012","UHF 42","406","4","Fresh Meadows","80","10.3","9.4"
"2012","UHF 42","407","4","Southwest Queens","306","13.9","14.2"
"2012","UHF 42","408","4","Jamaica","477","19.8","19.4"
"2012","UHF 42","409","4","Southeast Queens","208","12.5","11.4"
"2012","UHF 42","410","4","Rockaways","219","24.5","23.0"
"2012","UHF 42","501","4","Port Richmond","189","39.6","39.4"
"2012","UHF 42","502","4","Stapleton - St. George","273","28.9","27.7"
"2012","UHF 42","503","4","Willowbrook","89","12.9","11.5"
"2012","UHF 42","504","4","South Beach - Tottenville","241","15.7","14.4"
"2011","UHF 42","101","4","Kingsbridge - Riverdale","183","24.8","22.6"
"2011","UHF 42","102","4","Northeast Bronx","494","32.2","29.7"
"2011","UHF 42","103","4","Fordham - Bronx Pk","987","54.4","59.2"
"2011","UHF 42","104","4","Pelham - Throgs Neck","971","42.7","42.0"
"2011","UHF 42","105","4","Crotona -Tremont","1,005","68.6","76.1"
"2011","UHF 42","106","4","High Bridge - Morrisania","929","62.2","66.4"
"2011","UHF 42","107","4","Hunts Point - Mott Haven","672","69.5","74.4"
"2011","UHF 42","201","4","Greenpoint","147","14.5","18.7"
"2011","UHF 42","202","4","Downtown - Heights - Slope","456","23.6","28.3"
"2011","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","1,007","40.3","43.3"
"2011","UHF 42","204","4","East New York","585","43.4","46.1"
"2011","UHF 42","205","4","Sunset Park","237","24.7","30.2"
"2011","UHF 42","206","4","Borough Park","323","13.7","13.1"
"2011","UHF 42","207","4","East Flatbush - Flatbush","601","26.0","25.9"
"2011","UHF 42","208","4","Canarsie - Flatlands","346","21.8","20.7"
"2011","UHF 42","209","4","Bensonhurst - Bay Ridge","156","9.6","8.8"
"2011","UHF 42","210","4","Coney Island - Sheepshead Bay","469","21.2","18.3"
"2011","UHF 42","211","4","Williamsburg - Bushwick","801","49.5","59.1"
"2011","UHF 42","301","4","Washington Heights","473","22.1","23.1"
"2011","UHF 42","302","4","Central Harlem - Morningside Heights","514","36.4","39.5"
"2011","UHF 42","303","4","East Harlem","579","66.2","68.3"
"2011","UHF 42","304","4","Upper West Side","215","11.6","10.4"
"2011","UHF 42","305","4","Upper East Side","121","6.5","6.0"
"2011","UHF 42","306","4","Chelsea - Clinton","146","10.7","11.9"
"2011","UHF 42","307","4","Gramercy Park - Murray Hill","86","7.3","8.2"
"2011","UHF 42","308","4","Greenwich Village - SoHo","27","3.7","4.4"
"2011","UHF 42","309","4","Union Square - Lower East Side","373","21.8","23.1"
"2011","UHF 42","310","4","Lower Manhattan","29","5.8","8.3"
"2011","UHF 42","401","4","Long Island City - Astoria","310","17.6","20.0"
"2011","UHF 42","402","4","West Queens","454","12.4","13.6"
"2011","UHF 42","403","4","Flushing - Clearview","238","11.5","10.0"
"2011","UHF 42","404","4","Bayside - Little Neck","59","8.2","6.8"
"2011","UHF 42","405","4","Ridgewood - Forest Hills","249","12.3","11.4"
"2011","UHF 42","406","4","Fresh Meadows","90","11.6","10.9"
"2011","UHF 42","407","4","Southwest Queens","271","12.4","12.6"
"2011","UHF 42","408","4","Jamaica","507","21.3","20.7"
"2011","UHF 42","409","4","Southeast Queens","221","13.4","12.4"
"2011","UHF 42","410","4","Rockaways","279","31.3","29.5"
"2011","UHF 42","501","4","Port Richmond","156","32.8","33.5"
"2011","UHF 42","502","4","Stapleton - St. George","279","29.6","28.4"
"2011","UHF 42","503","4","Willowbrook","95","13.9","12.7"
"2011","UHF 42","504","4","South Beach - Tottenville","234","15.3","13.8"
"2010","UHF 42","101","4","Kingsbridge - Riverdale","211","28.7","25.8"
"2010","UHF 42","102","4","Northeast Bronx","523","35.6","33.5"
"2010","UHF 42","103","4","Fordham - Bronx Pk","940","51.0","55.2"
"2010","UHF 42","104","4","Pelham - Throgs Neck","1,011","44.7","44.1"
"2010","UHF 42","105","4","Crotona -Tremont","1,135","78.8","87.7"
"2010","UHF 42","106","4","High Bridge - Morrisania","986","66.6","70.5"
"2010","UHF 42","107","4","Hunts Point - Mott Haven","686","71.8","77.6"
"2010","UHF 42","201","4","Greenpoint","160","15.4","20.6"
"2010","UHF 42","202","4","Downtown - Heights - Slope","414","22.6","27.4"
"2010","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","1,134","46.9","49.4"
"2010","UHF 42","204","4","East New York","590","43.9","46.2"
"2010","UHF 42","205","4","Sunset Park","238","24.1","30.3"
"2010","UHF 42","206","4","Borough Park","328","13.5","12.8"
"2010","UHF 42","207","4","East Flatbush - Flatbush","610","26.6","26.3"
"2010","UHF 42","208","4","Canarsie - Flatlands","349","23.0","21.7"
"2010","UHF 42","209","4","Bensonhurst - Bay Ridge","168","9.7","8.9"
"2010","UHF 42","210","4","Coney Island - Sheepshead Bay","471","19.7","16.7"
"2010","UHF 42","211","4","Williamsburg - Bushwick","797","51.3","60.1"
"2010","UHF 42","301","4","Washington Heights","460","22.9","23.7"
"2010","UHF 42","302","4","Central Harlem - Morningside Heights","589","45.3","48.1"
"2010","UHF 42","303","4","East Harlem","585","67.9","69.7"
"2010","UHF 42","304","4","Upper West Side","237","12.6","11.2"
"2010","UHF 42","305","4","Upper East Side","101","5.4","5.3"
"2010","UHF 42","306","4","Chelsea - Clinton","174","12.7","14.4"
"2010","UHF 42","307","4","Gramercy Park - Murray Hill","107","8.7","10.2"
"2010","UHF 42","308","4","Greenwich Village - SoHo","28","3.8","4.3"
"2010","UHF 42","309","4","Union Square - Lower East Side","406","23.4","24.9"
"2010","UHF 42","310","4","Lower Manhattan","48","10.3","14.1"
"2010","UHF 42","401","4","Long Island City - Astoria","269","14.9","17.1"
"2010","UHF 42","402","4","West Queens","432","11.2","12.3"
"2010","UHF 42","403","4","Flushing - Clearview","209","9.7","8.3"
"2010","UHF 42","404","4","Bayside - Little Neck","41","5.7","4.8"
"2010","UHF 42","405","4","Ridgewood - Forest Hills","251","12.6","11.8"
"2010","UHF 42","406","4","Fresh Meadows","88","11.5","10.8"
"2010","UHF 42","407","4","Southwest Queens","321","15.7","15.7"
"2010","UHF 42","408","4","Jamaica","590","26.7","25.9"
"2010","UHF 42","409","4","Southeast Queens","245","16.0","14.6"
"2010","UHF 42","410","4","Rockaways","260","30.9","29.1"
"2010","UHF 42","501","4","Port Richmond","164","32.5","32.6"
"2010","UHF 42","502","4","Stapleton - St. George","261","27.4","26.4"
"2010","UHF 42","503","4","Willowbrook","95","14.1","13.1"
"2010","UHF 42","504","4","South Beach - Tottenville","199","13.5","13.0"
"2009","UHF 42","101","4","Kingsbridge - Riverdale","242","33.1","30.0"
"2009","UHF 42","102","4","Northeast Bronx","619","42.4","39.9"
"2009","UHF 42","103","4","Fordham - Bronx Pk","1,136","62.2","67.2"
"2009","UHF 42","104","4","Pelham - Throgs Neck","1,075","47.9","47.4"
"2009","UHF 42","105","4","Crotona -Tremont","1,135","79.7","87.9"
"2009","UHF 42","106","4","High Bridge - Morrisania","1,111","77.1","83.1"
"2009","UHF 42","107","4","Hunts Point - Mott Haven","779","83.1","88.4"
"2009","UHF 42","201","4","Greenpoint","198","20.1","25.8"
"2009","UHF 42","202","4","Downtown - Heights - Slope","501","27.6","32.7"
"2009","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","1,284","53.8","56.4"
"2009","UHF 42","204","4","East New York","585","44.4","46.5"
"2009","UHF 42","205","4","Sunset Park","240","24.7","30.5"
"2009","UHF 42","206","4","Borough Park","298","12.3","12.2"
"2009","UHF 42","207","4","East Flatbush - Flatbush","607","26.6","26.5"
"2009","UHF 42","208","4","Canarsie - Flatlands","382","25.4","24.5"
"2009","UHF 42","209","4","Bensonhurst - Bay Ridge","183","10.7","9.9"
"2009","UHF 42","210","4","Coney Island - Sheepshead Bay","468","19.7","17.0"
"2009","UHF 42","211","4","Williamsburg - Bushwick","861","56.6","66.2"
"2009","UHF 42","301","4","Washington Heights","502","25.0","26.0"
"2009","UHF 42","302","4","Central Harlem - Morningside Heights","623","48.7","51.7"
"2009","UHF 42","303","4","East Harlem","728","85.7","88.3"
"2009","UHF 42","304","4","Upper West Side","284","15.1","14.3"
"2009","UHF 42","305","4","Upper East Side","103","5.4","5.6"
"2009","UHF 42","306","4","Chelsea - Clinton","184","13.9","15.6"
"2009","UHF 42","307","4","Gramercy Park - Murray Hill","92","7.4","8.5"
"2009","UHF 42","308","4","Greenwich Village - SoHo","54","7.2","8.4"
"2009","UHF 42","309","4","Union Square - Lower East Side","466","26.8","28.9"
"2009","UHF 42","310","4","Lower Manhattan","38","8.5","11.5"
"2009","UHF 42","401","4","Long Island City - Astoria","299","16.7","19.0"
"2009","UHF 42","402","4","West Queens","485","12.7","14.0"
"2009","UHF 42","403","4","Flushing - Clearview","200","9.4","7.9"
"2009","UHF 42","404","4","Bayside - Little Neck","71","10.0","8.4"
"2009","UHF 42","405","4","Ridgewood - Forest Hills","215","10.8","10.3"
"2009","UHF 42","406","4","Fresh Meadows","99","13.1","12.5"
"2009","UHF 42","407","4","Southwest Queens","315","15.5","15.5"
"2009","UHF 42","408","4","Jamaica","552","25.3","24.7"
"2009","UHF 42","409","4","Southeast Queens","227","15.0","13.9"
"2009","UHF 42","410","4","Rockaways","250","30.2","28.4"
