"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2018","UHF 42","106","4","High Bridge - Morrisania","14.0","12.4","15.4"
"Annual Average 2018","UHF 42","107","4","Hunts Point - Mott Haven","12.4","10.1","14.6"
"Annual Average 2018","UHF 42","201","4","Greenpoint","16.4","13.3","21.0"
"Annual Average 2018","UHF 42","202","4","Downtown - Heights - Slope","17.0","14.0","20.6"
"Annual Average 2018","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","15.7","14.2","17.2"
"Annual Average 2018","UHF 42","204","4","East New York","13.4","12.2","14.7"
"Annual Average 2018","UHF 42","205","4","Sunset Park","14.1","11.6","17.5"
"Annual Average 2018","UHF 42","206","4","Borough Park","12.8","11.6","14.4"
"Annual Average 2018","UHF 42","207","4","East Flatbush - Flatbush","14.6","12.2","17.1"
"Annual Average 2018","UHF 42","208","4","Canarsie - Flatlands","11.5","9.6","13.4"
"Annual Average 2018","UHF 42","209","4","Bensonhurst - Bay Ridge","11.0","9.7","12.5"
"Annual Average 2018","UHF 42","210","4","Coney Island - Sheepshead Bay","10.2","8.8","11.5"
"Annual Average 2018","UHF 42","211","4","Williamsburg - Bushwick","15.7","14.5","17.2"
"Annual Average 2018","UHF 42","301","4","Washington Heights","15.7","12.1","20.1"
"Annual Average 2018","UHF 42","302","4","Central Harlem - Morningside Heights","14.8","13.4","16.1"
"Annual Average 2018","UHF 42","303","4","East Harlem","15.2","12.9","18.0"
"Annual Average 2018","UHF 42","304","4","Upper West Side","19.2","14.6","24.9"
"Annual Average 2018","UHF 42","305","4","Upper East Side","22.0","12.7","29.1"
"Annual Average 2018","UHF 42","306","4","Chelsea - Clinton","23.2","16.0","29.2"
"Annual Average 2018","UHF 42","307","4","Gramercy Park - Murray Hill","21.7","16.9","27.3"
"Annual Average 2018","UHF 42","308","4","Greenwich Village - SoHo","26.6","18.9","35.3"
"Annual Average 2018","UHF 42","309","4","Union Square - Lower East Side","21.2","14.3","29.4"
"Annual Average 2018","UHF 42","310","4","Lower Manhattan","19.9","17.5","22.4"
"Annual Average 2018","UHF 42","401","4","Long Island City - Astoria","13.0","11.2","14.7"
"Annual Average 2018","UHF 42","402","4","West Queens","12.9","11.3","14.6"
"Annual Average 2018","UHF 42","403","4","Flushing - Clearview","10.8","9.6","12.8"
"Annual Average 2018","UHF 42","404","4","Bayside - Little Neck","10.0","9.2","11.0"
"Annual Average 2018","UHF 42","405","4","Ridgewood - Forest Hills","13.2","11.8","15.0"
"Annual Average 2018","UHF 42","406","4","Fresh Meadows","11.1","10.0","12.3"
"Annual Average 2018","UHF 42","407","4","Southwest Queens","11.9","10.8","13.1"
"Annual Average 2018","UHF 42","408","4","Jamaica","10.8","9.8","12.4"
"Annual Average 2018","UHF 42","409","4","Southeast Queens","9.4","8.7","10.2"
"Annual Average 2018","UHF 42","410","4","Rockaways","8.0","7.5","8.5"
"Annual Average 2018","UHF 42","501","4","Port Richmond","8.6","7.6","9.5"
"Annual Average 2018","UHF 42","502","4","Stapleton - St. George","9.2","7.9","10.6"
"Annual Average 2018","UHF 42","503","4","Willowbrook","7.7","6.7","9.3"
"Annual Average 2018","UHF 42","504","4","South Beach - Tottenville","6.6","5.9","7.4"
"Annual Average 2017","UHF 42","101","4","Kingsbridge - Riverdale","12.1","10.5","15.4"
"Annual Average 2017","UHF 42","102","4","Northeast Bronx","12.9","11.3","15.8"
