"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Summer 2016","UHF 42","405","4","Ridgewood - Forest Hills","33.5","32.5","34.7"
"Summer 2016","UHF 42","406","4","Fresh Meadows","33.2","32.5","33.9"
"Summer 2016","UHF 42","407","4","Southwest Queens","34.3","33.2","35.6"
"Summer 2016","UHF 42","408","4","Jamaica","33.9","33.0","34.7"
"Summer 2016","UHF 42","409","4","Southeast Queens","34.3","33.2","35.3"
"Summer 2016","UHF 42","410","4","Rockaways","38.2","36.6","39.6"
"Summer 2016","UHF 42","501","4","Port Richmond","33.4","32.7","34.6"
"Summer 2016","UHF 42","502","4","Stapleton - St. George","34.2","32.5","36.2"
"Summer 2016","UHF 42","503","4","Willowbrook","34.7","32.6","36.9"
"Summer 2016","UHF 42","504","4","South Beach - Tottenville","36.2","34.7","37.7"
"Summer 2015","UHF 42","101","4","Kingsbridge - Riverdale","28.7","28.0","29.6"
"Summer 2015","UHF 42","102","4","Northeast Bronx","29.9","29.3","30.5"
"Summer 2015","UHF 42","103","4","Fordham - Bronx Pk","29.5","28.9","30.1"
"Summer 2015","UHF 42","104","4","Pelham - Throgs Neck","31.4","30.1","33.4"
"Summer 2015","UHF 42","105","4","Crotona -Tremont","29.6","29.0","30.3"
"Summer 2015","UHF 42","106","4","High Bridge - Morrisania","29.9","29.4","30.5"
"Summer 2015","UHF 42","107","4","Hunts Point - Mott Haven","31.7","30.3","33.6"
"Summer 2015","UHF 42","201","4","Greenpoint","31.0","29.6","32.4"
"Summer 2015","UHF 42","202","4","Downtown - Heights - Slope","29.8","28.6","31.1"
"Summer 2015","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","31.2","30.1","32.2"
"Summer 2015","UHF 42","204","4","East New York","32.6","31.7","33.6"
"Summer 2015","UHF 42","205","4","Sunset Park","31.3","30.2","32.5"
"Summer 2015","UHF 42","206","4","Borough Park","32.1","31.2","33.2"
"Summer 2015","UHF 42","207","4","East Flatbush - Flatbush","32.2","31.0","33.1"
"Summer 2015","UHF 42","208","4","Canarsie - Flatlands","34.7","32.9","37.7"
"Summer 2015","UHF 42","209","4","Bensonhurst - Bay Ridge","32.8","30.9","34.7"
"Summer 2015","UHF 42","210","4","Coney Island - Sheepshead Bay","35.0","33.7","36.7"
"Summer 2015","UHF 42","211","4","Williamsburg - Bushwick","31.1","30.4","31.9"
"Summer 2015","UHF 42","301","4","Washington Heights","29.0","28.2","29.8"
"Summer 2015","UHF 42","302","4","Central Harlem - Morningside Heights","29.0","28.3","29.9"
"Summer 2015","UHF 42","303","4","East Harlem","29.6","28.9","30.8"
"Summer 2015","UHF 42","304","4","Upper West Side","28.1","27.7","28.6"
"Summer 2015","UHF 42","305","4","Upper East Side","28.1","25.9","30.8"
"Summer 2015","UHF 42","306","4","Chelsea - Clinton","26.1","23.8","28.8"
"Summer 2015","UHF 42","307","4","Gramercy Park - Murray Hill","25.1","23.5","27.1"
"Summer 2015","UHF 42","308","4","Greenwich Village - SoHo","27.4","26.6","28.5"
"Summer 2015","UHF 42","309","4","Union Square - Lower East Side","27.7","26.0","29.3"
"Summer 2015","UHF 42","310","4","Lower Manhattan","27.0","26.2","28.0"
"Summer 2015","UHF 42","401","4","Long Island City - Astoria","31.4","30.8","32.2"
"Summer 2015","UHF 42","402","4","West Queens","31.6","30.9","32.4"
"Summer 2015","UHF 42","403","4","Flushing - Clearview","31.9","31.2","32.8"
"Summer 2015","UHF 42","404","4","Bayside - Little Neck","31.3","30.2","32.4"
"Summer 2015","UHF 42","405","4","Ridgewood - Forest Hills","31.8","30.9","33.0"
"Summer 2015","UHF 42","406","4","Fresh Meadows","31.5","30.8","32.3"
"Summer 2015","UHF 42","407","4","Southwest Queens","32.6","31.5","34.0"
"Summer 2015","UHF 42","408","4","Jamaica","32.0","31.2","32.9"
"Summer 2015","UHF 42","409","4","Southeast Queens","32.5","31.4","33.5"
"Summer 2015","UHF 42","410","4","Rockaways","37.4","35.6","39.1"
"Summer 2015","UHF 42","501","4","Port Richmond","30.0","29.5","30.8"
"Summer 2015","UHF 42","502","4","Stapleton - St. George","31.8","29.8","34.2"
"Summer 2015","UHF 42","503","4","Willowbrook","31.7","29.8","33.7"
"Summer 2015","UHF 42","504","4","South Beach - Tottenville","34.1","32.5","35.6"
"Summer 2014","UHF 42","101","4","Kingsbridge - Riverdale","30.4","29.7","31.3"
"Summer 2014","UHF 42","102","4","Northeast Bronx","31.5","30.9","32.2"
"Summer 2014","UHF 42","103","4","Fordham - Bronx Pk","30.7","29.8","31.8"
"Summer 2014","UHF 42","104","4","Pelham - Throgs Neck","31.9","30.5","33.8"
"Summer 2014","UHF 42","105","4","Crotona -Tremont","30.1","29.4","30.7"
"Summer 2014","UHF 42","106","4","High Bridge - Morrisania","29.9","29.4","30.4"
"Summer 2014","UHF 42","107","4","Hunts Point - Mott Haven","31.4","30.0","33.3"
"Summer 2014","UHF 42","201","4","Greenpoint","30.5","29.1","31.9"
"Summer 2014","UHF 42","202","4","Downtown - Heights - Slope","29.3","28.0","30.9"
"Summer 2014","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","30.3","29.4","31.3"
"Summer 2014","UHF 42","204","4","East New York","32.0","31.0","33.2"
"Summer 2014","UHF 42","205","4","Sunset Park","30.6","29.4","31.9"
"Summer 2014","UHF 42","206","4","Borough Park","30.7","30.0","31.4"
"Summer 2014","UHF 42","207","4","East Flatbush - Flatbush","30.9","30.0","31.7"
